,rates,names,names,names.1
394,67.08695,GMD,,
395,9645.448548,GNF,,
396,8.803584,GTQ,,
397,235.762078,GYD,,
398,8.789069,HKD,,
399,27.612559,HNL,,
400,7.562116,HRK,,
401,155.934918,HTG,,
402,374.886387,HUF,,
403,16873.410494,IDR,,
404,4.056147,ILS,,
405,0.857773,IMP,,
406,92.310033,INR,,
407,1469.663607,IQD,,
408,47545.386563,IRR,,
409,147.152139,ISK,,
410,0.857773,JEP,,
411,173.492094,JMD,,
412,0.797732,JOD,,
413,155.997272,JPY,,
414,159.534339,KES,,
415,98.825106,KGS,,
416,4630.255232,KHR,,
417,493.730129,KMF,,
418,1012.170132,KPW,,
419,1427.576659,KRW,,
420,0.344442,KWD,,
421,0.93495,KYD,,
422,499.489658,KZT,,
423,21475.5457,LAK,,
424,16839.291432,LBP,,
425,359.572164,LKR,,
426,206.605959,LRD,,
427,20.294698,LSL,,
428,3.320856,LTL,,
429,0.680302,LVL,,
430,5.331142,LYD,,
431,10.805062,MAD,,
432,20.215748,MDL,,
433,5067.184953,MGA,,
434,61.600092,MKD,,
435,2355.921055,MMK,,
436,3876.351795,MNT,,
437,9.031247,MOP,,
438,401.506675,MRO,,
439,50.861819,MUR,,
440,17.331576,MVR,,
441,1182.609779,MWK,,
442,18.833546,MXN,,
443,5.090296,MYR,,
444,71.135745,MZN,,
445,20.424415,NAD,,
446,873.309747,NGN,,
447,41.0334,NIO,,
448,11.304403,NOK,,
449,147.40629,NPR,,
450,1.765433,NZD,,
451,0.43225,OMR,,
452,1.12182,PAB,,
453,4.011655,PEN,,
454,4.061347,PGK,,
455,61.126187,PHP,,
456,307.392357,PKR,,
457,4.461809,PLN,,
458,8138.690907,PYG,,
459,4.094963,QAR,,
460,4.943825,RON,,
461,117.257139,RSD,,
462,101.501806,RUB,,
463,1309.689339,RWF,,
464,4.220498,SAR,,
465,9.412116,SBD,,
466,14.951394,SCR,,
467,676.4926,SDG,,
468,11.416657,SEK,,
469,1.48558,SGD,,
470,1.368442,SHP,,
471,22.476269,SLE,,
472,22212.215089,SLL,,
473,639.378504,SOS,,
474,42.854958,SRD,,
475,23278.379654,STD,,
476,9.816421,SVC,,
477,2825.763732,SYP,,
478,20.233745,SZL,,
479,38.933838,THB,,
480,12.278825,TJS,,
481,3.936342,TMT,,
482,3.413413,TND,,
483,2.610526,TOP,,
484,29.432932,TRY,,
485,7.616775,TTD,,
486,34.68986,TWD,,
487,2744.058623,TZS,,
488,41.223069,UAH,,
489,4115.338056,UGX,,
490,1.124669,USD,,
491,42.783118,UYU,,
492,12988.910759,UZS,,
493,3190514.035713,VEF,,
494,31.963158,VES,,
495,26589.989177,VND,,
496,131.250731,VUV,,
497,3.021638,WST,,
498,655.851508,XAF,,
499,0.045129,XAG,,
500,0.000575,XAU,,
501,3.039475,XCD,,
502,0.835766,XDR,,
503,655.851508,XOF,,
504,120.171302,XPF,,
505,281.561318,YER,,
506,20.362252,ZAR,,
507,10123.375531,ZMK,,
508,20.866644,ZMW,,
509,362.142991,ZWL,,
